track,album,release_date,recording_period,producers,writers,vocals
Break the Chain,World Record,"November 18, 2022","May 2 – 11, 2022",Rick Rubin,,
The Long Day Before,World Record,"November 18, 2022","May 2 – 11, 2022",Rick Rubin,,
Walkin' on the Road (To the Future),World Record,"November 18, 2022","May 2 – 11, 2022",Rick Rubin,,
The Wonder Won't Wait,World Record,"November 18, 2022","May 2 – 11, 2022",Rick Rubin,,
Chevrolet,World Record,"November 18, 2022","May 2 – 11, 2022",Rick Rubin,,
This Old Planet (Reprise),World Record,"November 18, 2022","May 2 – 11, 2022",Rick Rubin,,
Sugar Mountain,Live Rust,"November 14, 1979",October 1978,David Briggs,,
I Am a Child,Live Rust,"November 14, 1979",October 1978,David Briggs,,
Comes a Time,Live Rust,"November 14, 1979",October 1978,David Briggs,,
After the Gold Rush,Live Rust,"November 14, 1979",October 1978,David Briggs,,
When You Dance I Can Really Love,Live Rust,"November 14, 1979",October 1978,David Briggs,,
The Loner,Live Rust,"November 14, 1979",October 1978,David Briggs,,
The Needle and the Damage Done,Live Rust,"November 14, 1979",October 1978,David Briggs,,
Lotta Love,Live Rust,"November 14, 1979",October 1978,David Briggs,,
Powderfinger,Live Rust,"November 14, 1979",October 1978,David Briggs,,
Cortez the Killer,Live Rust,"November 14, 1979",October 1978,David Briggs,,
Like a Hurricane,Live Rust,"November 14, 1979",October 1978,David Briggs,,
"Hey Hey, My My (Into the Black)",Live Rust,"November 14, 1979",October 1978,David Briggs,,
Tonight's the Night,Live Rust,"November 14, 1979",October 1978,David Briggs,,
When You Dance I Can Really Love,Year of the Horse,"June 17, 1997",May – November 1996,"""Horse""",,
Barstool Blues,Year of the Horse,"June 17, 1997",May – November 1996,"""Horse""",,
When Your Lonely Heart Breaks,Year of the Horse,"June 17, 1997",May – November 1996,"""Horse""",,
Mr. Soul,Year of the Horse,"June 17, 1997",May – November 1996,"""Horse""",,
Big Time,Year of the Horse,"June 17, 1997",May – November 1996,"""Horse""",,
Pocahontas,Year of the Horse,"June 17, 1997",May – November 1996,"""Horse""",,
Slip Away,Year of the Horse,"June 17, 1997",May – November 1996,"""Horse""",,
Scattered (Let's Think About Livin'),Year of the Horse,"June 17, 1997",May – November 1996,"""Horse""",,
Danger Bird,Year of the Horse,"June 17, 1997",May – November 1996,"""Horse""",,
Prisoners of Rock 'n' Roll,Year of the Horse,"June 17, 1997",May – November 1996,"""Horse""",,
Mother Earth (Natural Anthem),Earth,"June 17, 2016","July 5 – October 17, 2015",John Hanlon,,
Seed Justice,Earth,"June 17, 2016","July 5 – October 17, 2015",John Hanlon,,
My Country Home,Earth,"June 17, 2016","July 5 – October 17, 2015",John Hanlon,,
The Monsanto Years,Earth,"June 17, 2016","July 5 – October 17, 2015",John Hanlon,,
Western Hero,Earth,"June 17, 2016","July 5 – October 17, 2015",John Hanlon,,
Vampire Blues,Earth,"June 17, 2016","July 5 – October 17, 2015",John Hanlon,,
Hippie Dream,Earth,"June 17, 2016","July 5 – October 17, 2015",John Hanlon,,
After the Gold Rush,Earth,"June 17, 2016","July 5 – October 17, 2015",John Hanlon,,
Big Box,Earth,"June 17, 2016","July 5 – October 17, 2015",John Hanlon,,
People Want to Hear About Love,Earth,"June 17, 2016","July 5 – October 17, 2015",John Hanlon,,
Wolf Moon,Earth,"June 17, 2016","July 5 – October 17, 2015",John Hanlon,,
I'm the Ocean,Before and After,"December 8, 2023",July 2023,Lou Adler,,
Homefires,Before and After,"December 8, 2023",July 2023,Lou Adler,,
Burned,Before and After,"December 8, 2023",July 2023,Lou Adler,,
On the Way Home,Before and After,"December 8, 2023",July 2023,Lou Adler,,
If You Got Love,Before and After,"December 8, 2023",July 2023,Lou Adler,,
A Dream That Can Last,Before and After,"December 8, 2023",July 2023,Lou Adler,,
Birds,Before and After,"December 8, 2023",July 2023,Lou Adler,,
My Heart,Before and After,"December 8, 2023",July 2023,Lou Adler,,
When I Hold You in My Arms,Before and After,"December 8, 2023",July 2023,Lou Adler,,
Mother Earth,Before and After,"December 8, 2023",July 2023,Lou Adler,,
Mr. Soul,Before and After,"December 8, 2023",July 2023,Lou Adler,,
Comes a Time,Before and After,"December 8, 2023",July 2023,Lou Adler,,
Don't Forget Love,Before and After,"December 8, 2023",July 2023,Lou Adler,,
City Life,Fuckin' Up,"April 26, 2024","November 4, 2023",Niko Bolas,,
Feels Like a Railroad (River of Pride),Fuckin' Up,"April 26, 2024","November 4, 2023",Niko Bolas,,
Heart of Steel,Fuckin' Up,"April 26, 2024","November 4, 2023",Niko Bolas,,
Broken Circle,Fuckin' Up,"April 26, 2024","November 4, 2023",Niko Bolas,,
Valley of Hearts,Fuckin' Up,"April 26, 2024","November 4, 2023",Niko Bolas,,
Farmer John,Fuckin' Up,"April 26, 2024","November 4, 2023",Niko Bolas,,
Walkin' in My Place (Road of Tears),Fuckin' Up,"April 26, 2024","November 4, 2023",Niko Bolas,,
To Follow One's Own Dream,Fuckin' Up,"April 26, 2024","November 4, 2023",Niko Bolas,,
A Chance on Love,Fuckin' Up,"April 26, 2024","November 4, 2023",Niko Bolas,,
Buffalo Stomp,Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
Ode to Wild Bill #1,Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
All Along the Watchtower,Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
Lucy in the Sky with Diamonds,Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
Ode to Wild Bill #2,Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
Papa Was a Rollin' Stone,Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
"Home, Home on the Range",Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
Straight Answers (dialogue),Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
Highway 61 Revisited,Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
I Can't Help Myself (Sugar Pie Honey Bunch),Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
Ode to Wild Bill #3,Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
Keep on Chooglin',Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
Ode to Wild Bill #4,Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
Purple Haze,Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
Buffalo Stomp Refrain,Where the Buffalo Roam,"April 25, 1980",,David Briggs,,
"Guitar Solo, No. 1",Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
The Round Stones Beneath the Earth...,Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
"Guitar Solo, No. 2",Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
"Why Dost Thou Hide Thyself, Clouds...",Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
Organ Solo,Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
Do You Know How to Use This Weapon?,Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
"Guitar Solo, No. 3",Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
Nobody's Story,Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
"Guitar Solo, No. 4",Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
Stupid White Men...,Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
"Guitar Solo, No. 5",Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
"Time for You to Leave, William Blake...",Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
"Guitar Solo, No. 6",Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
Theme from Dead Man (Edit),Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
Theme from Dead Man (Edit w/Johnny Deppspoken words),Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
Theme from Dead Man (Long version),Dead Man,"February 27, 1996","March 27, 1995","Neil Young, John Hanlon",,
Many Moons Ago in the Future,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Show Me,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Paradox Passage 1,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Hey,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Paradox Passage 2,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Diggin' in the Dirt - Chorus,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Paradox Passage 3,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Peace Trail,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Pocahontas,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Cowgirl Jam,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Angel Flying Too Close to the Ground,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Paradox Passage 4,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Diggin' in the Dirt,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Paradox Passage 5,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Running to the Silver Eagle,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Baby What You Want Me to Do?,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Paradox Passage 6,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Offerings,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
How Long?,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Happy Together,Paradox,"March 23, 2018","January 19, 2014August 19, 2014September – October, 2016January 31 – February 1, 2017","John Hanlon, Niko Bolas, ",,
Tell Me Why,Live at the Cellar Door,"December 10, 2013","November 30 – December 2, 1970",Henry Lewy,,
Only Love Can Break Your Heart,Live at the Cellar Door,"December 10, 2013","November 30 – December 2, 1970",Henry Lewy,,
After the Gold Rush,Live at the Cellar Door,"December 10, 2013","November 30 – December 2, 1970",Henry Lewy,,
Expecting to Fly,Live at the Cellar Door,"December 10, 2013","November 30 – December 2, 1970",Henry Lewy,,
Bad Fog of Loneliness,Live at the Cellar Door,"December 10, 2013","November 30 – December 2, 1970",Henry Lewy,,
Old Man,Live at the Cellar Door,"December 10, 2013","November 30 – December 2, 1970",Henry Lewy,,
Birds,Live at the Cellar Door,"December 10, 2013","November 30 – December 2, 1970",Henry Lewy,,
Don't Let It Bring You Down,Live at the Cellar Door,"December 10, 2013","November 30 – December 2, 1970",Henry Lewy,,
See the Sky About to Rain,Live at the Cellar Door,"December 10, 2013","November 30 – December 2, 1970",Henry Lewy,,
Cinnamon Girl,Live at the Cellar Door,"December 10, 2013","November 30 – December 2, 1970",Henry Lewy,,
I Am a Child,Live at the Cellar Door,"December 10, 2013","November 30 – December 2, 1970",Henry Lewy,,
Down by the River,Live at the Cellar Door,"December 10, 2013","November 30 – December 2, 1970",Henry Lewy,,
Pocahontas,Hitchhiker,"September 8, 2017","August 11, 1976","David Briggs, John Hanlon, ",,
Powderfinger,Hitchhiker,"September 8, 2017","August 11, 1976","David Briggs, John Hanlon, ",,
Captain Kennedy,Hitchhiker,"September 8, 2017","August 11, 1976","David Briggs, John Hanlon, ",,
Hawaii,Hitchhiker,"September 8, 2017","August 11, 1976","David Briggs, John Hanlon, ",,
Give Me Strength,Hitchhiker,"September 8, 2017","August 11, 1976","David Briggs, John Hanlon, ",,
Ride My Llama,Hitchhiker,"September 8, 2017","August 11, 1976","David Briggs, John Hanlon, ",,
Hitchhiker,Hitchhiker,"September 8, 2017","August 11, 1976","David Briggs, John Hanlon, ",,
Campaigner,Hitchhiker,"September 8, 2017","August 11, 1976","David Briggs, John Hanlon, ",,
Human Highway,Hitchhiker,"September 8, 2017","August 11, 1976","David Briggs, John Hanlon, ",,
Intro,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Tonight's the Night,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Roll Out the Barrel,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,Jaromír Vejvoda,
Mellow My Mind,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
World on a String,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Band Intro,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Speakin' Out,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Candy Bar Rap,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Albuquerque,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Perry Como Rap,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
New Mama,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
David Geffen Rap,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Roll Another Number (For the Road),Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Candy Bar 2 Rap,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Tired Eyes,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Tonight's the Night – Part II,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Walk On,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Outro,Roxy: Tonight's the Night Live,"April 24, 2018","September 20 – 22, 1973",David Briggs,,
Songs for Judy Intro,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Too Far Gone,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
No One Seems to Know,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Heart of Gold,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
White Line,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Love Is a Rose,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
After the Gold Rush,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Human Highway,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Tell Me Why,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Mr. Soul,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Mellow My Mind,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Give Me Strength,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
A Man Needs a Maid,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Roll Another Number (for the Road),Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Journey Through the Past,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Harvest,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Campaigner,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Old Laughing Lady (includes Guilty Train),Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
The Losing End (When You're on),Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Here We Are in the Years,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
The Needle and the Damage Done,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Pocahontas,Songs for Judy,"November 30, 2018","November 6 – 24, 1976","Joel Bernstein, Cameron Crowe, David Briggs",,
Here We Are in the Years,Tuscaloosa,"June 7, 2019","February 5, 1973","Neil Young, Elliot Mazer",,
After the Gold Rush,Tuscaloosa,"June 7, 2019","February 5, 1973","Neil Young, Elliot Mazer",,
Out on the Weekend,Tuscaloosa,"June 7, 2019","February 5, 1973","Neil Young, Elliot Mazer",,
Harvest,Tuscaloosa,"June 7, 2019","February 5, 1973","Neil Young, Elliot Mazer",,
Old Man,Tuscaloosa,"June 7, 2019","February 5, 1973","Neil Young, Elliot Mazer",,
Heart of Gold,Tuscaloosa,"June 7, 2019","February 5, 1973","Neil Young, Elliot Mazer",,
Time Fades Away,Tuscaloosa,"June 7, 2019","February 5, 1973","Neil Young, Elliot Mazer",,
Lookout Joe,Tuscaloosa,"June 7, 2019","February 5, 1973","Neil Young, Elliot Mazer",,
New Mama,Tuscaloosa,"June 7, 2019","February 5, 1973","Neil Young, Elliot Mazer",,
Alabama,Tuscaloosa,"June 7, 2019","February 5, 1973","Neil Young, Elliot Mazer",,
Country Home,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
Surfer Joe and Moe the Sleaze,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs","Neil Young, Frank ""Poncho"" Sampedro",
Love to Burn,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
Days That Used to Be,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
Bite the Bullet,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
Cinnamon Girl,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
Farmer John,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs","Don Harris, Dewey Terry",
Over and Over,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
Danger Bird,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
Don’t Cry No Tears,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
Roll Another Number (For the Road),Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
Fuckin’ Up,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs","Neil Young, Frank ""Poncho"" Sampedro",
T-Bone,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
Homegrown,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
Mansion on the Hill,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
Like a Hurricane,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
Love and Only Love,Way Down in the Rust Bucket,"February 26, 2021","November 13, 1990","Neil Young, David Briggs",,
"Quit (Neil Young, Frank Sampedro)",Toast,"July 8, 2022","November 8 – December 15, 2000February 6 – 9, 2001","John Hanlon, ",,
Standing in the Light of Love,Toast,"July 8, 2022","November 8 – December 15, 2000February 6 – 9, 2001","John Hanlon, ",,
Goin' Home,Toast,"July 8, 2022","November 8 – December 15, 2000February 6 – 9, 2001","John Hanlon, ",,
Timberline,Toast,"July 8, 2022","November 8 – December 15, 2000February 6 – 9, 2001","John Hanlon, ",,
Gateway of Love,Toast,"July 8, 2022","November 8 – December 15, 2000February 6 – 9, 2001","John Hanlon, ",,
How Ya Doin'?,Toast,"July 8, 2022","November 8 – December 15, 2000February 6 – 9, 2001","John Hanlon, ",,
Mr. Soul,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
Everybody Knows This Is Nowhere,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
Helpless,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
Field of Opportunity,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
Alabama,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
Throw Your Hatred Down,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
Rockin' in the Free World,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
Comes a Time,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
From Hank to Hendrix,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
On the Beach,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
Are You Ready for the Country?,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
I've Been Waiting for You,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
Winterlong,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
Fuckin' Up,Noise & Flowers,"August 5, 2022","July 2 – 14, 2019","Niko Bolas, ",,
The Old Laughing Lady,Odeon Budokan,"September 1, 2023",March 1976,"Neil Young, David Briggs",,
After the Gold Rush,Odeon Budokan,"September 1, 2023",March 1976,"Neil Young, David Briggs",,
Too Far Gone,Odeon Budokan,"September 1, 2023",March 1976,"Neil Young, David Briggs",,
Old Man,Odeon Budokan,"September 1, 2023",March 1976,"Neil Young, David Briggs",,
Don't Cry No Tears,Odeon Budokan,"September 1, 2023",March 1976,"Neil Young, David Briggs",,
Cowgirl in the Sand,Odeon Budokan,"September 1, 2023",March 1976,"Neil Young, David Briggs",,
Lotta Love,Odeon Budokan,"September 1, 2023",March 1976,"Neil Young, David Briggs",,
Drive Back,Odeon Budokan,"September 1, 2023",March 1976,"Neil Young, David Briggs",,
Long May You Run,Long May You Run,20-09-1976,"February 16 – June 7, 1976","Stephen Stills, Neil Young, Don Gehman, Tom Dowd","Stephen Stills, Neil Young","Neil Young, Stephen Stills, Joe Lala, Joe Vitale, George ""Chocolate"" Perry, Jerry Aiello"
Make Love to You,Long May You Run,20-09-1976,"February 16 – June 7, 1976","Stephen Stills, Neil Young, Don Gehman","Stephen Stills, Neil Young","Stephen Stills, Neil Young, Joe Lala, Joe Vitale, George ""Chocolate"" Perry, Jerry Aiello"
Midnight on the Bay,Long May You Run,20-09-1976,"February 16 – June 7, 1976","Stephen Stills, Neil Young, Don Gehman","Stephen Stills, Neil Young","Neil Young, Stephen Stills, Joe Lala, Joe Vitale, George ""Chocolate"" Perry, Jerry Aiello"
Black Coral,Long May You Run,20-09-1976,"February 16 – June 7, 1976","Stephen Stills, Neil Young, Don Gehman","Stephen Stills, Neil Young","Stephen Stills, Neil Young, Joe Lala, Joe Vitale, George ""Chocolate"" Perry, Jerry Aiello"
Ocean Girl,Long May You Run,20-09-1976,"February 16 – June 7, 1976","Stephen Stills, Neil Young, Don Gehman","Stephen Stills, Neil Young","Neil Young, Stephen Stills, Joe Lala, Joe Vitale, George ""Chocolate"" Perry, Jerry Aiello"
Let It Shine,Long May You Run,20-09-1976,"February 16 – June 7, 1976","Stephen Stills, Neil Young, Don Gehman","Stephen Stills, Neil Young","Neil Young, Stephen Stills, Joe Vitale, George “Chocolate” Perry"
12/8 Blues (All the Same),Long May You Run,20-09-1976,"February 16 – June 7, 1976","Stephen Stills, Neil Young, Don Gehman","Stephen Stills, Neil Young","Stephen Stills, Neil Young, Joe Lala, Joe Vitale, George ""Chocolate"" Perry, Jerry Aiello"
Fontainebleau,Long May You Run,20-09-1976,"February 16 – June 7, 1976","Stephen Stills, Neil Young, Don Gehman, Tom Dowd","Stephen Stills, Neil Young","Neil Young, Stephen Stills, Joe Lala, Joe Vitale, George ""Chocolate"" Perry, Jerry Aiello"
Guardian Angel,Long May You Run,20-09-1976,"February 16 – June 7, 1976","Stephen Stills, Neil Young, Don Gehman","Stephen Stills, Neil Young","Stephen Stills, Neil Young, Joe Lala, Joe Vitale, George ""Chocolate"" Perry, Jerry Aiello"
Suite: Judy Blue Eyes,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Stephen Stills,Stills
Marrakesh Express,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Graham Nash,Nash
Guinnevere,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",David Crosby,Crosby with Nash
You Don't Have to Cry,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Stills,Stills with Crosby & Nash
Pre-Road Downs,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Nash,Nash
Wooden Ships,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash","Crosby, Paul Kantner, Stills",Crosby with Stills
Lady of the Island,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Nash,Nash
Helplessly Hoping,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Stills,Stills with Crosby & Nash
Long Time Gone,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Crosby,Crosby with Stills
49 Bye-Byes,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Stills,Stills
Do for the Others (demo),"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Stills,Stills and Nash
Song with No Words (Tree with No Leaves),"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Crosby,Crosby and Nash
Everybody's Talkin',"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Fred Neil,Stills with Crosby and Nash
Teach Your Children (demo),"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Nash,Nash and Crosby
